track_id	tonic	mode
2725290.LOFI	G	minor
272788.LOFI	A#	major
2741219.LOFI	A	minor
2760321.LOFI	C	major
2996293.LOFI	D	major
3003894.LOFI	C	minor
3005030.LOFI	E	minor
3014118.LOFI	E	minor
3015217.LOFI	F	minor
3024384.LOFI	A	minor
3033991.LOFI	C	minor
305771.LOFI	C	minor
3069201.LOFI	C	major
3070298.LOFI	D	minor
3076768.LOFI	A	major
3093661.LOFI	G	minor
3095708.LOFI	G	minor
3114501.LOFI	A#	minor
3116329.LOFI	G	minor
3129757.LOFI	C#	minor
3133794.LOFI	G#	minor
3137686.LOFI	A	minor
3150078.LOFI	D	major
3151513.LOFI	D	minor
3165770.LOFI	E	minor
3172588.LOFI	B	minor
3178147.LOFI	A	minor
3178155.LOFI	A	minor
3186615.LOFI	F	minor
3211603.LOFI	C	minor
3211733.LOFI	D	minor
3228297.LOFI	B	minor
3228649.LOFI	G#	minor
3228698.LOFI	E	minor
3229038.LOFI	D#	major
3232851.LOFI	A	minor
3233653.LOFI	F	major
3246151.LOFI	A#	minor
3249708.LOFI	F	minor
3250632.LOFI	F	minor
3257231.LOFI	E	minor
3260121.LOFI	G#	minor
3262951.LOFI	C	minor
3270413.LOFI	A	minor
3271514.LOFI	A	minor
3272873.LOFI	B	minor
3274260.LOFI	D	minor
3275147.LOFI	F	minor
3284384.LOFI	A	minor
3288636.LOFI	A	minor
3298344.LOFI	F	minor
3302298.LOFI	C	minor
3302451.LOFI	B	minor
3313070.LOFI	B	minor
3313145.LOFI	E	major
3317232.LOFI	C	minor
3317417.LOFI	G	minor
3319290.LOFI	F	major
3319589.LOFI	F#	minor
3324024.LOFI	G#	minor
3334441.LOFI	G	minor
3334471.LOFI	F#	minor
3338963.LOFI	G	minor
3339291.LOFI	G	minor
3344291.LOFI	D	minor
3345479.LOFI	D	minor
3349486.LOFI	F	minor
3349967.LOFI	D#	minor
3354212.LOFI	F#	major
3356535.LOFI	F	minor
3361547.LOFI	G	minor
3361909.LOFI	D#	major
3363196.LOFI	E	minor
3363602.LOFI	B	minor
3364661.LOFI	A	major
3367551.LOFI	C#	minor
3367553.LOFI	C#	minor
3367555.LOFI	D#	minor
3368117.LOFI	E	minor
3372108.LOFI	D#	minor
3377323.LOFI	F	minor
3379400.LOFI	C	minor
3383171.LOFI	A	minor
3387619.LOFI	A	minor
3389317.LOFI	A	minor
3390952.LOFI	C	minor
3395666.LOFI	F#	minor
3397932.LOFI	B	minor
3400782.LOFI	F	minor
3402886.LOFI	F#	major
3402887.LOFI	F	minor
3402888.LOFI	D	minor
3409548.LOFI	D#	minor
3415063.LOFI	G	minor
3415421.LOFI	E	minor
341832.LOFI	G	major
3424038.LOFI	C#	minor
3426022.LOFI	D	minor
3426285.LOFI	D#	minor
3428673.LOFI	C	minor
3432247.LOFI	E	minor
3434746.LOFI	A	minor
3443052.LOFI	A#	minor
3450181.LOFI	C	minor
3467773.LOFI	A#	minor
3478184.LOFI	D#	minor
3479363.LOFI	D#	minor
3480108.LOFI	F#	minor
3482733.LOFI	G	minor
3516363.LOFI	G	minor
3517044.LOFI	F	minor
3518768.LOFI	D#	major
3518921.LOFI	B	minor
3519499.LOFI	G	minor
3523229.LOFI	A	minor
3524408.LOFI	F#	minor
3526370.LOFI	G	minor
3533310.LOFI	B	major
3533740.LOFI	B	minor
3533956.LOFI	G	minor
3535112.LOFI	A#	minor
3542099.LOFI	F	minor
3545728.LOFI	F	minor
3561744.LOFI	G	minor
3568438.LOFI	G#	major
3568459.LOFI	G	major
3568465.LOFI	A	minor
3571314.LOFI	C#	minor
3572701.LOFI	F	minor
3572702.LOFI	E	minor
3574815.LOFI	A	minor
3589347.LOFI	C	minor
3590070.LOFI	F#	minor
3596904.LOFI	A	major
3602280.LOFI	G	minor
3602282.LOFI	E	minor
3625299.LOFI	G	minor
3625787.LOFI	C	minor
3625788.LOFI	G	minor
3628628.LOFI	B	major
3629467.LOFI	C#	minor
3629920.LOFI	G	minor
3633852.LOFI	B	minor
3638836.LOFI	F	major
3641166.LOFI	E	minor
3642384.LOFI	D#	minor
3642409.LOFI	G#	minor
3648814.LOFI	B	minor
3661550.LOFI	A	minor
3667215.LOFI	G#	minor
3667683.LOFI	G	minor
3668409.LOFI	E	minor
3681890.LOFI	C	major
3686302.LOFI	D	minor
3687442.LOFI	G#	minor
3695262.LOFI	F	minor
3696226.LOFI	G#	minor
3701975.LOFI	F	major
3703893.LOFI	E	major
3706570.LOFI	D#	minor
3713557.LOFI	A#	minor
3725440.LOFI	F	minor
3740062.LOFI	F	minor
3753635.LOFI	F	major
3757006.LOFI	D#	major
3759800.LOFI	B	minor
376240.LOFI	F	minor
3767408.LOFI	G	minor
3772753.LOFI	D	minor
3773561.LOFI	D	minor
3776015.LOFI	G#	minor
3789116.LOFI	E	minor
3789117.LOFI	A#	minor
3792959.LOFI	E	minor
3794008.LOFI	C#	minor
3813682.LOFI	G	minor
3822226.LOFI	G#	minor
3826491.LOFI	D	minor
3829561.LOFI	A#	minor
3833050.LOFI	C#	major
3836490.LOFI	F	minor
3841927.LOFI	C	minor
3858289.LOFI	A	minor
3858324.LOFI	B	minor
3858331.LOFI	C	minor
3873733.LOFI	D#	minor
3892740.LOFI	D	major
3914630.LOFI	F#	major
3930672.LOFI	D	minor
3935095.LOFI	E	minor
3938837.LOFI	E	minor
3939148.LOFI	G	minor
3949799.LOFI	A	major
3954078.LOFI	A	minor
3954191.LOFI	F	minor
3958396.LOFI	A	major
3958397.LOFI	A	minor
3958398.LOFI	G	minor
3958755.LOFI	D#	minor
3958861.LOFI	E	minor
3963180.LOFI	F#	minor
3967462.LOFI	E	minor
3969868.LOFI	F	minor
3971416.LOFI	D	minor
3979989.LOFI	D#	minor
3980001.LOFI	D	minor
398124.LOFI	D	major
3986537.LOFI	F#	minor
3992511.LOFI	D#	minor
3995054.LOFI	C	major
3997722.LOFI	F	minor
4002242.LOFI	A	minor
400259.LOFI	G	minor
4014747.LOFI	C	minor
4014749.LOFI	C	minor
4018247.LOFI	G	minor
4021075.LOFI	F	minor
4045225.LOFI	C#	minor
4048367.LOFI	B	minor
4049579.LOFI	G	minor
4060751.LOFI	D#	minor
4062807.LOFI	E	minor
4066359.LOFI	D#	major
4066435.LOFI	A#	minor
4086909.LOFI	G	minor
4088665.LOFI	D	minor
4091478.LOFI	A	minor
4093657.LOFI	C#	minor
4093908.LOFI	C	minor
4098993.LOFI	G	minor
4104235.LOFI	F	minor
4107957.LOFI	C#	minor
4125044.LOFI	F	minor
4153238.LOFI	A	minor
4162405.LOFI	A	minor
4166222.LOFI	E	minor
4167325.LOFI	F	minor
4173942.LOFI	C	major
4186982.LOFI	G	minor
4188100.LOFI	A#	minor
4191993.LOFI	E	minor
4200490.LOFI	F#	minor
4202763.LOFI	A	minor
4206954.LOFI	D	minor
4207145.LOFI	D#	minor
423054.LOFI	D	minor
4231980.LOFI	C	minor
4234612.LOFI	C	minor
4254573.LOFI	C	minor
4262569.LOFI	D#	minor
4275052.LOFI	D	major
4277742.LOFI	F	minor
4284574.LOFI	G	major
4293025.LOFI	A	minor
4297635.LOFI	B	minor
4302974.LOFI	E	minor
4315749.LOFI	F	minor
4320199.LOFI	D#	minor
4325645.LOFI	C	minor
4325646.LOFI	F#	minor
4327665.LOFI	E	minor
4328155.LOFI	C	minor
4328388.LOFI	F	minor
435443.LOFI	E	minor
4359736.LOFI	F	minor
4360488.LOFI	F	minor
4361260.LOFI	C	minor
4364668.LOFI	G#	minor
4366506.LOFI	D#	minor
4371042.LOFI	D	minor
4399289.LOFI	C	major
4424988.LOFI	G#	minor
4433083.LOFI	A#	minor
4440292.LOFI	G#	minor
4450726.LOFI	E	major
4452003.LOFI	F#	minor
4452122.LOFI	A#	minor
4453556.LOFI	G	minor
4476610.LOFI	D#	minor
4483817.LOFI	G#	minor
4485436.LOFI	F	minor
4498388.LOFI	D	minor
4505122.LOFI	D#	major
4508323.LOFI	B	minor
4540971.LOFI	A#	minor
4566667.LOFI	F#	minor
4573655.LOFI	E	minor
4596347.LOFI	F	minor
4609349.LOFI	A	minor
4615188.LOFI	G#	minor
4657878.LOFI	F#	minor
4661735.LOFI	G	minor
4666231.LOFI	F	minor
4666417.LOFI	A	major
4688833.LOFI	A	minor
4693198.LOFI	E	major
4702235.LOFI	D	major
4723905.LOFI	F	minor
472626.LOFI	G	minor
4735775.LOFI	D#	minor
4755348.LOFI	G	minor
4758620.LOFI	F	minor
4779657.LOFI	A#	major
4786362.LOFI	C	minor
4802314.LOFI	E	minor
4815758.LOFI	C	minor
4817706.LOFI	C#	minor
4823611.LOFI	A	minor
4824580.LOFI	C	minor
4827420.LOFI	F#	minor
4834156.LOFI	D	minor
4840289.LOFI	E	minor
4842349.LOFI	G	minor
4846004.LOFI	B	minor
4846007.LOFI	G#	minor
4857650.LOFI	A#	minor
4863806.LOFI	F	minor
4868146.LOFI	F	minor
4873286.LOFI	F#	major
4877006.LOFI	F	minor
4898445.LOFI	G#	minor
4898455.LOFI	F	minor
4900482.LOFI	F#	minor
4917941.LOFI	F	minor
4920936.LOFI	C#	minor
4926785.LOFI	G	minor
4927548.LOFI	F	minor
4927724.LOFI	G#	major
4927725.LOFI	D#	minor
4928111.LOFI	F	minor
4934196.LOFI	A	minor
4934251.LOFI	C	minor
4935536.LOFI	F	minor
4939812.LOFI	A#	minor
4941208.LOFI	F	minor
4945105.LOFI	F	minor
4950604.LOFI	F	minor
4950614.LOFI	E	minor
4953926.LOFI	C	minor
4955428.LOFI	A#	minor
4955940.LOFI	G#	minor
4956417.LOFI	D#	minor
4957129.LOFI	D	minor
495905.LOFI	A#	minor
4960012.LOFI	G	minor
4965571.LOFI	G	minor
4969568.LOFI	B	minor
4970082.LOFI	F	minor
4981539.LOFI	F#	minor
4981541.LOFI	A#	minor
4983645.LOFI	D	minor
4983728.LOFI	G	minor
4992190.LOFI	C#	minor
4995394.LOFI	F#	minor
4995597.LOFI	C	major
4996031.LOFI	F	minor
4996389.LOFI	A	minor
4997194.LOFI	G#	minor
4997222.LOFI	C#	minor
5005412.LOFI	G	minor
5009084.LOFI	A#	minor
5013063.LOFI	E	minor
5013910.LOFI	G	minor
5015793.LOFI	C	major
5026646.LOFI	F	minor
5030517.LOFI	F#	minor
5035524.LOFI	E	minor
5036476.LOFI	F#	minor
5039015.LOFI	C#	minor
5039016.LOFI	G	minor
5048249.LOFI	A	minor
5048263.LOFI	G	minor
5049808.LOFI	G#	minor
5070608.LOFI	F	minor
5073839.LOFI	B	major
5078640.LOFI	F	minor
5079918.LOFI	G#	minor
5081990.LOFI	F#	minor
5085261.LOFI	A	major
5103693.LOFI	F	major
511348.LOFI	E	minor
5120298.LOFI	F	minor
5159593.LOFI	A	minor
5171396.LOFI	G#	major
5263098.LOFI	G	minor
5264038.LOFI	E	minor
5276059.LOFI	C	minor
5302340.LOFI	C	minor
5304804.LOFI	F	minor
5308082.LOFI	C#	minor
5362946.LOFI	A	minor
5417860.LOFI	G#	minor
5431709.LOFI	C	minor
5450838.LOFI	E	minor
571009.LOFI	F	minor
5740146.LOFI	D#	minor
582991.LOFI	G	minor
611797.LOFI	A	major
61415.LOFI	F	minor
631240.LOFI	G	minor
631883.LOFI	C	minor
634032.LOFI	E	minor
667508.LOFI	D	minor
671546.LOFI	A	minor
677299.LOFI	F#	major
678406.LOFI	E	minor
682724.LOFI	C	major
74982.LOFI	C	minor
774871.LOFI	B	major
774874.LOFI	B	minor
774875.LOFI	F#	minor
781373.LOFI	E	major
781995.LOFI	C	major
796860.LOFI	G#	minor
814290.LOFI	E	major
814505.LOFI	A	major
822664.LOFI	A#	minor
835903.LOFI	D	major
839886.LOFI	D	minor
846900.LOFI	E	major
847422.LOFI	A	minor
853834.LOFI	E	major
873455.LOFI	E	minor
877345.LOFI	D#	major
883724.LOFI	F	minor
890568.LOFI	E	minor
891993.LOFI	D	major
896478.LOFI	B	minor
903963.LOFI	F	major
907837.LOFI	G	minor
923397.LOFI	A#	minor
945256.LOFI	D#	minor
973819.LOFI	F	minor
975137.LOFI	C	minor
975138.LOFI	D	minor
981591.LOFI	A#	minor
992081.LOFI	E	major
997308.LOFI	C	major
